"from","to","capacity","length","ftime","B","power","speed","toll","type"
"171",10407,1e+05,0.5,0,0.15,4,25,0,3
"172",10408,1e+05,0.49,0,0.15,4,25,0,3
"173",10409,1e+05,0.51,0,0.15,4,25,0,3
"174",10410,1e+05,0.5,0,0.15,4,25,0,3
"175",10411,1e+05,0.5,0,0.15,4,25,0,3
"176",10412,1e+05,0.51,0,0.15,4,25,0,3
"177",10413,1e+05,0.5,0,0.15,4,25,0,3
"178",10414,1e+05,0.5,0,0.15,4,25,0,3
"179",10415,1e+05,0.51,0,0.15,4,25,0,3
"180",10416,1e+05,0.5,0,0.15,4,25,0,3
"181",10417,1e+05,0.5,0,0.15,4,25,0,3
"182",10418,1e+05,0.5,0,0.15,4,25,0,3
"183",10419,1e+05,0.5,0,0.15,4,25,0,3
"184",10420,1e+05,0.5,0,0.15,4,25,0,3
"185",10421,1e+05,0.5,0,0.15,4,25,0,3
"186",10422,1e+05,0.5,0,0.15,4,25,0,3
"187",10423,1e+05,0.58,0,0.15,4,25,0,3
"188",10424,1e+05,0.5,0,0.15,4,25,0,3
"189",10425,1e+05,0.5,0,0.15,4,25,0,3
"190",10426,1e+05,0.5,0,0.15,4,25,0,3
"191",10427,1e+05,0.5,0,0.15,4,25,0,3
"192",10428,1e+05,0.57,0,0.15,4,25,0,3
"193",10429,1e+05,0.58,0,0.15,4,25,0,3
"194",10430,1e+05,0.5,0,0.15,4,25,0,3
"195",10431,1e+05,0.5,0,0.15,4,25,0,3
"196",10432,1e+05,0.5,0,0.15,4,25,0,3
"197",10433,1e+05,0.57,0,0.15,4,25,0,3
"198",10434,1e+05,0.56,0,0.15,4,25,0,3
"199",10435,1e+05,0.5,0,0.15,4,25,0,3
"200",10436,1e+05,0.5,0,0.15,4,25,0,3
"201",10437,1e+05,0.51,0,0.15,4,25,0,3
"202",10438,1e+05,0.56,0,0.15,4,25,0,3
"203",10439,1e+05,0.56,0,0.15,4,25,0,3
"204",10440,1e+05,0.5,0,0.15,4,25,0,3
"205",10441,1e+05,0.5,0,0.15,4,25,0,3
"206",10442,1e+05,0.5,0,0.15,4,25,0,3
"207",10443,1e+05,0.56,0,0.15,4,25,0,3
"208",10444,1e+05,0.56,0,0.15,4,25,0,3
"209",10445,1e+05,0.5,0,0.15,4,25,0,3
"210",10446,1e+05,0.5,0,0.15,4,25,0,3
"211",10447,1e+05,0.5,0,0.15,4,25,0,3
"212",10448,1e+05,0.56,0,0.15,4,25,0,3
"213",10449,1e+05,0.56,0,0.15,4,25,0,3
"214",10450,1e+05,0.5,0,0.15,4,25,0,3
"215",10451,1e+05,0.51,0,0.15,4,25,0,3
"216",10452,1e+05,0.51,0,0.15,4,25,0,3
"217",10453,1e+05,0.5,0,0.15,4,25,0,3
"218",10454,1e+05,0.56,0,0.15,4,25,0,3
"219",10455,1e+05,0.5,0,0.15,4,25,0,3
"220",10456,1e+05,0.5,0,0.15,4,25,0,3
"221",10457,1e+05,0.5,0,0.15,4,25,0,3
"222",10458,1e+05,0.5,0,0.15,4,25,0,3
"223",10459,1e+05,0.5,0,0.15,4,25,0,3
"224",10460,1e+05,0.5,0,0.15,4,25,0,3
"225",10461,1e+05,0.5,0,0.15,4,25,0,3
"226",10462,1e+05,0.5,0,0.15,4,25,0,3
"227",10463,1e+05,0.5,0,0.15,4,25,0,3
"228",10464,1e+05,0.5,0,0.15,4,25,0,3
"229",10465,1e+05,0.5,0,0.15,4,25,0,3
"230",10466,1e+05,0.5,0,0.15,4,25,0,3
"231",10467,1e+05,0.5,0,0.15,4,25,0,3
"232",10468,1e+05,0.5,0,0.15,4,25,0,3
"233",10469,1e+05,0.5,0,0.15,4,25,0,3
"234",10470,1e+05,0.5,0,0.15,4,25,0,3
"235",10471,1e+05,0.5,0,0.15,4,25,0,3
"236",10472,1e+05,0.5,0,0.15,4,25,0,3
"237",10473,1e+05,0.5,0,0.15,4,25,0,3
"238",10474,1e+05,0.51,0,0.15,4,25,0,3
"239",10475,1e+05,0.5,0,0.15,4,25,0,3
"240",10476,1e+05,0.5,0,0.15,4,25,0,3
"241",10477,1e+05,0.5,0,0.15,4,25,0,3
"242",10478,1e+05,0.5,0,0.15,4,25,0,3
"243",10479,1e+05,0.5,0,0.15,4,25,0,3
"244",10480,1e+05,0.51,0,0.15,4,25,0,3
"245",10481,1e+05,0.5,0,0.15,4,25,0,3
"246",10482,1e+05,0.5,0,0.15,4,25,0,3
"247",10483,1e+05,0.5,0,0.15,4,25,0,3
"248",10484,1e+05,0.51,0,0.15,4,25,0,3
"249",10485,1e+05,0.51,0,0.15,4,25,0,3
"250",10486,1e+05,1.01,0,0.15,4,25,0,3
"251",10487,1e+05,1.01,0,0.15,4,25,0,3
"252",10488,1e+05,0.51,0,0.15,4,25,0,3
"253",10489,1e+05,0.5,0,0.15,4,25,0,3
"254",10490,1e+05,0.5,0,0.15,4,25,0,3
"255",10491,1e+05,0.5,0,0.15,4,25,0,3
"256",10807,1e+05,0.51,0,0.15,4,25,0,3
"257",10813,1e+05,0.5,0,0.15,4,25,0,3
"258",10493,1e+05,1,0,0.15,4,25,0,3
"259",10494,1e+05,0.5,0,0.15,4,25,0,3
"260",10495,1e+05,0.5,0,0.15,4,25,0,3
"261",10492,1e+05,0.51,0,0.15,4,25,0,3
"262",10812,1e+05,0.5,0,0.15,4,25,0,3
"263",10496,1e+05,1.01,0,0.15,4,25,0,3
"264",10497,1e+05,1,0,0.15,4,25,0,3
"265",10498,1e+05,1.01,0,0.15,4,25,0,3
"266",10499,1e+05,0.47,0,0.15,4,25,0,3
"267",10500,1e+05,0.5,0,0.15,4,25,0,3
"268",11189,1e+05,0.36,0,0.15,4,25,0,3
"269",10501,1e+05,0.5,0,0.15,4,25,0,3
"270",10502,1e+05,0.55,0,0.15,4,25,0,3
"271",10503,1e+05,0.5,0,0.15,4,25,0,3
"272",10504,1e+05,0.5,0,0.15,4,25,0,3
"273",10505,1e+05,0.47,0,0.15,4,25,0,3
"274",10506,1e+05,0.5,0,0.15,4,25,0,3
"275",10507,1e+05,0.5,0,0.15,4,25,0,3
"276",10508,1e+05,0.5,0,0.15,4,25,0,3
"277",10509,1e+05,0.49,0,0.15,4,25,0,3
"278",10510,1e+05,0.5,0,0.15,4,25,0,3
"279",10511,1e+05,0.5,0,0.15,4,25,0,3
"280",10512,1e+05,0.5,0,0.15,4,25,0,3
"281",10513,1e+05,0.49,0,0.15,4,25,0,3
"282",10514,1e+05,0.46,0,0.15,4,25,0,3
"283",10515,1e+05,0.43,0,0.15,4,25,0,3
"284",10516,1e+05,0.41,0,0.15,4,25,0,3
"285",10517,1e+05,0.41,0,0.15,4,25,0,3
"286",10518,1e+05,0.4,0,0.15,4,25,0,3
"287",10519,1e+05,0.4,0,0.15,4,25,0,3
"288",10520,1e+05,0.38,0,0.15,4,25,0,3
"289",10521,1e+05,0.51,0,0.15,4,25,0,3
"290",10522,1e+05,0.5,0,0.15,4,25,0,3
"291",10523,1e+05,0.5,0,0.15,4,25,0,3
"292",10524,1e+05,0.5,0,0.15,4,25,0,3
"293",10525,1e+05,0.5,0,0.15,4,25,0,3
"294",10526,1e+05,0.49,0,0.15,4,25,0,3
"295",10527,1e+05,0.51,0,0.15,4,25,0,3
"296",10528,1e+05,0.5,0,0.15,4,25,0,3
"297",10529,1e+05,0.5,0,0.15,4,25,0,3
"298",10530,1e+05,0.5,0,0.15,4,25,0,3
"299",10531,1e+05,0.5,0,0.15,4,25,0,3
"300",10532,1e+05,0.49,0,0.15,4,25,0,3
"301",10533,1e+05,0.51,0,0.15,4,25,0,3
"302",10534,1e+05,0.5,0,0.15,4,25,0,3
"303",10535,1e+05,0.5,0,0.15,4,25,0,3
"304",10536,1e+05,0.5,0,0.15,4,25,0,3
"305",10537,1e+05,0.5,0,0.15,4,25,0,3
"306",10538,1e+05,0.49,0,0.15,4,25,0,3
"307",10539,1e+05,0.51,0,0.15,4,25,0,3
"308",10540,1e+05,0.5,0,0.15,4,25,0,3
"309",10541,1e+05,0.5,0,0.15,4,25,0,3
"310",10542,1e+05,0.5,0,0.15,4,25,0,3
"311",10543,1e+05,0.5,0,0.15,4,25,0,3
"312",10544,1e+05,0.5,0,0.15,4,25,0,3
"313",10545,1e+05,0.5,0,0.15,4,25,0,3
"314",10546,1e+05,0.49,0,0.15,4,25,0,3
"315",10547,1e+05,0.51,0,0.15,4,25,0,3
"316",10548,1e+05,0.5,0,0.15,4,25,0,3
"317",10549,1e+05,0.5,0,0.15,4,25,0,3
"318",10550,1e+05,0.5,0,0.15,4,25,0,3
"319",10551,1e+05,0.5,0,0.15,4,25,0,3
"320",10552,1e+05,0.51,0,0.15,4,25,0,3
"321",10553,1e+05,0.51,0,0.15,4,25,0,3
"322",10554,1e+05,0.5,0,0.15,4,25,0,3
"323",10555,1e+05,0.5,0,0.15,4,25,0,3
"324",10556,1e+05,0.5,0,0.15,4,25,0,3
"325",10557,1e+05,0.53,0,0.15,4,25,0,3
"326",10558,1e+05,0.53,0,0.15,4,25,0,3
"327",10559,1e+05,0.52,0,0.15,4,25,0,3
"328",10560,1e+05,0.5,0,0.15,4,25,0,3
"329",10561,1e+05,0.5,0,0.15,4,25,0,3
"330",10562,1e+05,0.5,0,0.15,4,25,0,3
"331",10563,1e+05,0.52,0,0.15,4,25,0,3
"332",10564,1e+05,0.51,0,0.15,4,25,0,3
"333",10565,1e+05,0.51,0,0.15,4,25,0,3
"334",10566,1e+05,0.5,0,0.15,4,25,0,3
"335",10567,1e+05,0.5,0,0.15,4,25,0,3
"336",10568,1e+05,0.5,0,0.15,4,25,0,3
"337",10569,1e+05,0.52,0,0.15,4,25,0,3
"338",10570,1e+05,0.5,0,0.15,4,25,0,3
"339",10571,1e+05,0.51,0,0.15,4,25,0,3
"340",10572,1e+05,0.5,0,0.15,4,25,0,3
"341",10573,1e+05,0.5,0,0.15,4,25,0,3
"342",10574,1e+05,0.5,0,0.15,4,25,0,3
"343",10575,1e+05,0.52,0,0.15,4,25,0,3
"344",10576,1e+05,0.51,0,0.15,4,25,0,3
"345",10577,1e+05,0.51,0,0.15,4,25,0,3
"346",10578,1e+05,0.51,0,0.15,4,25,0,3
"347",10579,1e+05,0.51,0,0.15,4,25,0,3
"348",10580,1e+05,0.51,0,0.15,4,25,0,3
"349",10581,1e+05,0.52,0,0.15,4,25,0,3
"350",10582,1e+05,0.5,0,0.15,4,25,0,3
"351",10583,1e+05,0.51,0,0.15,4,25,0,3
"352",10584,1e+05,0.5,0,0.15,4,25,0,3
"353",10585,1e+05,0.5,0,0.15,4,25,0,3
"354",10586,1e+05,0.5,0,0.15,4,25,0,3
"355",10587,1e+05,0.51,0,0.15,4,25,0,3
"356",10588,1e+05,0.51,0,0.15,4,25,0,3
"357",10589,1e+05,0.51,0,0.15,4,25,0,3
"358",10590,1e+05,0.51,0,0.15,4,25,0,3
"359",10591,1e+05,0.5,0,0.15,4,25,0,3
"360",10592,1e+05,0.5,0,0.15,4,25,0,3
"361",10593,1e+05,0.51,0,0.15,4,25,0,3
"362",10594,1e+05,0.51,0,0.15,4,25,0,3
"363",10595,1e+05,0.51,0,0.15,4,25,0,3
"364",10596,1e+05,0.51,0,0.15,4,25,0,3
"365",10597,1e+05,0.5,0,0.15,4,25,0,3
"366",10598,1e+05,0.51,0,0.15,4,25,0,3
"367",10599,1e+05,0.51,0,0.15,4,25,0,3
"368",10600,1e+05,0.51,0,0.15,4,25,0,3
"369",10601,1e+05,0.51,0,0.15,4,25,0,3
"370",10602,1e+05,0.5,0,0.15,4,25,0,3
"371",10603,1e+05,0.5,0,0.15,4,25,0,3
"372",10604,1e+05,0.5,0,0.15,4,25,0,3
"373",10605,1e+05,0.51,0,0.15,4,25,0,3
"374",10606,1e+05,0.51,0,0.15,4,25,0,3
"375",10607,1e+05,0.51,0,0.15,4,25,0,3
"376",10608,1e+05,0.5,0,0.15,4,25,0,3
"377",10609,1e+05,0.5,0,0.15,4,25,0,3
"378",10610,1e+05,0.5,0,0.15,4,25,0,3
"379",10611,1e+05,0.51,0,0.15,4,25,0,3
"380",10612,1e+05,0.51,0,0.15,4,25,0,3
"381",10613,1e+05,0.51,0,0.15,4,25,0,3
"382",10614,1e+05,0.5,0,0.15,4,25,0,3
"383",10615,1e+05,0.51,0,0.15,4,25,0,3
"384",10616,1e+05,0.51,0,0.15,4,25,0,3
"385",10617,1e+05,0.51,0,0.15,4,25,0,3
"386",10618,1e+05,0.5,0,0.15,4,25,0,3
"387",10619,1e+05,0.5,0,0.15,4,25,0,3
"388",10620,1e+05,0.5,0,0.15,4,25,0,3
"389",10621,1e+05,0.5,0,0.15,4,25,0,3
"390",10622,1e+05,0.5,0,0.15,4,25,0,3
"391",10623,1e+05,0.51,0,0.15,4,25,0,3
"392",10624,1e+05,0.5,0,0.15,4,25,0,3
"393",10625,1e+05,0.5,0,0.15,4,25,0,3
"394",10626,1e+05,0.51,0,0.15,4,25,0,3
"395",10627,1e+05,0.51,0,0.15,4,25,0,3
"396",10628,1e+05,0.5,0,0.15,4,25,0,3
"397",10629,1e+05,0.51,0,0.15,4,25,0,3
"398",10630,1e+05,0.51,0,0.15,4,25,0,3
"399",10631,1e+05,0.51,0,0.15,4,25,0,3
"400",10632,1e+05,0.5,0,0.15,4,25,0,3
"401",10633,1e+05,0.5,0,0.15,4,25,0,3
"402",10634,1e+05,0.5,0,0.15,4,25,0,3
"403",10635,1e+05,0.5,0,0.15,4,25,0,3
"404",10636,1e+05,0.5,0,0.15,4,25,0,3
"405",10637,1e+05,0.5,0,0.15,4,25,0,3
"406",10638,1e+05,0.5,0,0.15,4,25,0,3
"407",10639,1e+05,0.5,0,0.15,4,25,0,3
"408",10640,1e+05,0.5,0,0.15,4,25,0,3
"409",10641,1e+05,0.51,0,0.15,4,25,0,3
"410",10642,1e+05,0.5,0,0.15,4,25,0,3
"411",10643,1e+05,0.5,0,0.15,4,25,0,3
"412",10644,1e+05,0.51,0,0.15,4,25,0,3
"413",10645,1e+05,0.5,0,0.15,4,25,0,3
"414",10646,1e+05,0.5,0,0.15,4,25,0,3
"415",10647,1e+05,0.5,0,0.15,4,25,0,3
"416",10648,1e+05,0.5,0,0.15,4,25,0,3
"417",10649,1e+05,0.5,0,0.15,4,25,0,3
"418",10650,1e+05,0.5,0,0.15,4,25,0,3
"419",10651,1e+05,0.5,0,0.15,4,25,0,3
"420",10652,1e+05,0.5,0,0.15,4,25,0,3
"421",10653,1e+05,0.49,0,0.15,4,25,0,3
"422",10654,1e+05,0.5,0,0.15,4,25,0,3
"423",10655,1e+05,0.5,0,0.15,4,25,0,3
"424",10656,1e+05,0.5,0,0.15,4,25,0,3
"425",10657,1e+05,0.5,0,0.15,4,25,0,3
"426",10658,1e+05,0.51,0,0.15,4,25,0,3
"427",10659,1e+05,0.49,0,0.15,4,25,0,3
"428",10660,1e+05,0.51,0,0.15,4,25,0,3
"429",10661,1e+05,0.5,0,0.15,4,25,0,3
"430",10662,1e+05,0.5,0,0.15,4,25,0,3
"431",10663,1e+05,0.5,0,0.15,4,25,0,3
"432",10664,1e+05,0.51,0,0.15,4,25,0,3
"433",10665,1e+05,0.49,0,0.15,4,25,0,3
"434",10666,1e+05,0.5,0,0.15,4,25,0,3
"435",10667,1e+05,0.5,0,0.15,4,25,0,3
"436",10668,1e+05,0.5,0,0.15,4,25,0,3
"437",10669,1e+05,0.5,0,0.15,4,25,0,3
"438",10670,1e+05,0.51,0,0.15,4,25,0,3
"439",10671,1e+05,0.5,0,0.15,4,25,0,3
"440",10672,1e+05,0.51,0,0.15,4,25,0,3
"441",10673,1e+05,0.5,0,0.15,4,25,0,3
"442",10674,1e+05,0.5,0,0.15,4,25,0,3
"443",10675,1e+05,0.51,0,0.15,4,25,0,3
"444",10676,1e+05,0.51,0,0.15,4,25,0,3
"445",10677,1e+05,0.5,0,0.15,4,25,0,3
"446",10678,1e+05,0.51,0,0.15,4,25,0,3
"447",10679,1e+05,0.51,0,0.15,4,25,0,3
"448",10680,1e+05,0.5,0,0.15,4,25,0,3
"449",10681,1e+05,0.5,0,0.15,4,25,0,3
"450",10682,1e+05,0.51,0,0.15,4,25,0,3
"451",10683,1e+05,0.49,0,0.15,4,25,0,3
"452",10684,1e+05,0.5,0,0.15,4,25,0,3
"453",10685,1e+05,0.5,0,0.15,4,25,0,3
"454",10686,1e+05,0.5,0,0.15,4,25,0,3
"455",10687,1e+05,0.5,0,0.15,4,25,0,3
"456",10688,1e+05,0.5,0,0.15,4,25,0,3
"457",10689,1e+05,0.49,0,0.15,4,25,0,3
"458",10690,1e+05,0.5,0,0.15,4,25,0,3
"459",10691,1e+05,0.5,0,0.15,4,25,0,3
"460",10692,1e+05,0.51,0,0.15,4,25,0,3
"461",10693,1e+05,0.5,0,0.15,4,25,0,3
"462",10694,1e+05,0.5,0,0.15,4,25,0,3
"463",10695,1e+05,0.49,0,0.15,4,25,0,3
"464",10696,1e+05,0.5,0,0.15,4,25,0,3
"465",10697,1e+05,0.5,0,0.15,4,25,0,3
"466",10698,1e+05,0.51,0,0.15,4,25,0,3
"467",10699,1e+05,0.5,0,0.15,4,25,0,3
"468",10700,1e+05,0.56,0,0.15,4,25,0,3
"469",10701,1e+05,0.49,0,0.15,4,25,0,3
"470",10702,1e+05,0.51,0,0.15,4,25,0,3
"471",10703,1e+05,0.5,0,0.15,4,25,0,3
"472",10704,1e+05,0.51,0,0.15,4,25,0,3
"473",10705,1e+05,0.55,0,0.15,4,25,0,3
"474",10706,1e+05,0.55,0,0.15,4,25,0,3
"475",10707,1e+05,0.49,0,0.15,4,25,0,3
"476",10708,1e+05,0.5,0,0.15,4,25,0,3
"477",10709,1e+05,0.5,0,0.15,4,25,0,3
"478",10710,1e+05,0.54,0,0.15,4,25,0,3
"479",10711,1e+05,0.54,0,0.15,4,25,0,3
"480",10712,1e+05,0.5,0,0.15,4,25,0,3
